Timestamp,Temperature(C), Humidity(%), Moisture(%)
2025-04-07 08:18:37,21.0,49.0,27.0
2025-04-07 08:18:38,21.0,49.0,27.0
2025-04-07 08:18:40,21.0,49.0,27.0
2025-04-07 08:18:41,21.0,49.0,28.0
2025-04-07 08:18:43,21.0,49.0,-50.0
2025-04-07 08:18:44,21.0,49.0,-51.0
2025-04-07 08:18:46,21.0,49.0,-51.0
2025-04-07 08:18:47,21.0,49.0,30.0
2025-04-07 08:18:49,21.0,49.0,19.0
2025-04-07 08:18:50,21.0,49.0,20.0
2025-04-07 08:18:52,21.0,49.0,22.0
2025-04-07 08:18:54,21.0,49.0,25.0
2025-04-07 08:18:55,21.0,49.0,21.0
2025-04-07 08:18:57,21.0,49.0,21.0
2025-04-07 08:18:58,21.0,49.0,20.0
2025-04-07 08:19:00,21.0,49.0,20.0
2025-04-07 08:19:01,21.0,49.0,20.0
2025-04-07 08:19:03,21.0,49.0,20.0
2025-04-07 08:19:04,21.0,49.0,20.0
